Role,Name,Followee Role,Followee Name,Position
justice,SOTOMAYOR,justice,ROBERTS,0.0178571428571
justice,SCALIA,justice,SOTOMAYOR,0.0446428571429
justice,ALITO,justice,SCALIA,0.0535714285714
justice,SCALIA,justice,ALITO,0.0892857142857
justice,ALITO,justice,SCALIA,0.0982142857143
justice,SCALIA,justice,ALITO,0.125
justice,ROBERTS,justice,SCALIA,0.160714285714
justice,SCALIA,justice,ROBERTS,0.196428571429
justice,BREYER,justice,SCALIA,0.205357142857
justice,ALITO,justice,BREYER,0.25
justice,GINSBURG,justice,ALITO,0.258928571429
justice,SCALIA,justice,GINSBURG,0.267857142857
justice,BREYER,justice,SCALIA,0.276785714286
justice,GINSBURG,justice,BREYER,0.321428571429
justice,KENNEDY,justice,GINSBURG,0.366071428571
justice,GINSBURG,justice,KENNEDY,0.4375
justice,BREYER,justice,GINSBURG,0.446428571429
justice,SOTOMAYOR,justice,BREYER,0.482142857143
justice,ALITO,justice,SOTOMAYOR,0.517857142857
justice,ROBERTS,justice,ALITO,0.5625
justice,SCALIA,justice,ROBERTS,0.598214285714
justice,BREYER,justice,SCALIA,0.625
justice,SCALIA,justice,BREYER,0.633928571429
justice,SOTOMAYOR,justice,SCALIA,0.651785714286
justice,GINSBURG,justice,SOTOMAYOR,0.660714285714
justice,BREYER,justice,GINSBURG,0.6875
justice,ROBERTS,justice,BREYER,0.732142857143
justice,SCALIA,justice,ROBERTS,0.741071428571
justice,SOTOMAYOR,justice,SCALIA,0.75
justice,GINSBURG,justice,SOTOMAYOR,0.785714285714
justice,KAGAN,justice,GINSBURG,0.794642857143
justice,ROBERTS,justice,KAGAN,0.803571428571
justice,KENNEDY,justice,ROBERTS,0.8125
justice,GINSBURG,justice,KENNEDY,0.830357142857
justice,BREYER,justice,GINSBURG,0.848214285714
justice,GINSBURG,justice,BREYER,0.857142857143
justice,ROBERTS,justice,GINSBURG,0.866071428571
justice,BREYER,justice,ROBERTS,0.875
justice,SOTOMAYOR,justice,BREYER,0.883928571429
justice,GINSBURG,justice,SOTOMAYOR,0.892857142857
justice,KAGAN,justice,GINSBURG,0.901785714286
justice,SOTOMAYOR,justice,KAGAN,0.9375
justice,ROBERTS,justice,SOTOMAYOR,0.955357142857
justice,SOTOMAYOR,justice,ROBERTS,0.964285714286
justice,SCALIA,justice,SOTOMAYOR,0.982142857143
justice,ROBERTS,justice,SCALIA,1.0
