Role,Name,Follower Role,Follower Name,Ratio
justice,BREYER,justice,ALITO,0.25
justice,BREYER,justice,KENNEDY,0.25
justice,BREYER,justice,ROBERTS,0.125
justice,BREYER,justice,SCALIA,0.0
justice,BREYER,other,DREEBEN,0.0
justice,BREYER,justice,SREYER,0.125
justice,BREYER,justice,SOTOMAYOR,0.25
justice,BREYER,justice,GINSBURG,0.0
justice,BREYER,other,ELWOOD,0.0
justice,BREYER,justice,KAGAN,0.0
justice,ALITO,justice,BREYER,0.0
justice,ALITO,justice,KENNEDY,0.2
justice,ALITO,justice,ROBERTS,0.0
justice,ALITO,justice,SCALIA,0.4
justice,ALITO,other,DREEBEN,0.0
justice,ALITO,justice,SREYER,0.0
justice,ALITO,justice,SOTOMAYOR,0.2
justice,ALITO,justice,GINSBURG,0.2
justice,ALITO,other,ELWOOD,0.0
justice,ALITO,justice,KAGAN,0.0
justice,KENNEDY,justice,BREYER,0.0
justice,KENNEDY,justice,ALITO,0.0
justice,KENNEDY,other,DREEBEN,0.0
justice,KENNEDY,justice,ROBERTS,0.25
justice,KENNEDY,justice,SCALIA,0.375
justice,KENNEDY,justice,SREYER,0.0
justice,KENNEDY,justice,SOTOMAYOR,0.125
justice,KENNEDY,justice,GINSBURG,0.125
justice,KENNEDY,other,ELWOOD,0.0
justice,KENNEDY,justice,KAGAN,0.125
justice,ROBERTS,justice,BREYER,0.0
justice,ROBERTS,justice,ALITO,0.25
justice,ROBERTS,justice,KENNEDY,0.125
justice,ROBERTS,justice,SCALIA,0.125
justice,ROBERTS,other,DREEBEN,0.0
justice,ROBERTS,justice,SREYER,0.0
justice,ROBERTS,justice,SOTOMAYOR,0.125
justice,ROBERTS,justice,GINSBURG,0.125
justice,ROBERTS,other,ELWOOD,0.0
justice,ROBERTS,justice,KAGAN,0.25
justice,SCALIA,justice,ALITO,0.0
justice,SCALIA,justice,KENNEDY,0.222222222222
justice,SCALIA,justice,ROBERTS,0.333333333333
justice,SCALIA,justice,BREYER,0.333333333333
justice,SCALIA,other,DREEBEN,0.0
justice,SCALIA,justice,SREYER,0.0
justice,SCALIA,justice,SOTOMAYOR,0.0
justice,SCALIA,justice,GINSBURG,0.0
justice,SCALIA,other,ELWOOD,0.0
justice,SCALIA,justice,KAGAN,0.111111111111
justice,SREYER,justice,BREYER,1.0
justice,SREYER,justice,ALITO,0.0
justice,SREYER,justice,KENNEDY,0.0
justice,SREYER,justice,ROBERTS,0.0
justice,SREYER,justice,SCALIA,0.0
justice,SREYER,other,DREEBEN,0.0
justice,SREYER,justice,SOTOMAYOR,0.0
justice,SREYER,justice,GINSBURG,0.0
justice,SREYER,other,ELWOOD,0.0
justice,SREYER,justice,KAGAN,0.0
justice,SOTOMAYOR,justice,BREYER,0.428571428571
justice,SOTOMAYOR,justice,ALITO,0.0
justice,SOTOMAYOR,justice,KENNEDY,0.0
justice,SOTOMAYOR,justice,ROBERTS,0.142857142857
justice,SOTOMAYOR,justice,SCALIA,0.0
justice,SOTOMAYOR,other,DREEBEN,0.0
justice,SOTOMAYOR,justice,SREYER,0.142857142857
justice,SOTOMAYOR,justice,GINSBURG,0.0
justice,SOTOMAYOR,other,ELWOOD,0.0
justice,SOTOMAYOR,justice,KAGAN,0.285714285714
justice,GINSBURG,justice,BREYER,0.0
justice,GINSBURG,justice,ALITO,0.333333333333
justice,GINSBURG,justice,KENNEDY,0.0
justice,GINSBURG,justice,ROBERTS,0.0
justice,GINSBURG,justice,SCALIA,0.333333333333
justice,GINSBURG,other,DREEBEN,0.0
justice,GINSBURG,justice,SREYER,0.0
justice,GINSBURG,justice,SOTOMAYOR,0.333333333333
justice,GINSBURG,other,ELWOOD,0.0
justice,GINSBURG,justice,KAGAN,0.0
justice,KAGAN,justice,BREYER,0.0
justice,KAGAN,justice,ALITO,0.0
justice,KAGAN,justice,KENNEDY,0.333333333333
justice,KAGAN,justice,ROBERTS,0.166666666667
justice,KAGAN,justice,SCALIA,0.333333333333
justice,KAGAN,other,DREEBEN,0.0
justice,KAGAN,justice,SREYER,0.0
justice,KAGAN,justice,SOTOMAYOR,0.166666666667
justice,KAGAN,justice,GINSBURG,0.0
justice,KAGAN,other,ELWOOD,0.0
